 $/Acre ,Acres, PRICE ,CDOM,SOLD DATE,County,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,LOT SIZE,LATITUDE,LONGITUDE
" $11,389 ",10.01," $114,000 ",29,3/12/2020,Lee,3728  County Road 405   ,Lexington,TX,78947,436035.6,30.418726,-96.928694
" $9,109 ",10.10," $92,000 ",162,8/15/2018,Lee,1029  County Road 451   ,Lincoln,TX,78948,439956,30.360088,-96.971501
" $9,051 ",10.50," $95,000 ",210,4/17/2020,Lee,1135  Private Road 7039   ,Lexington,TX,78947,457205.76,30.334458,-97.058015
" $12,500 ",10.50," $131,250 ",34,10/22/2019,Lee,000  CR 411   ,Lexington,TX,78947,457380,30.470071,-96.988923
" $9,422 ",10.61," $100,000 ",75,9/19/2019,Lee,0000  Fm 1624   ,Lexington,TX,78947,462345.84,30.318281,-97.057303
" $9,494 ",10.74," $102,000 ",149,6/7/2018,Lee,1001  Fm 3403   ,Lexington,TX,78947,468008.64,30.358711,-96.972794
" $10,650 ",10.74," $114,424 ",96,9/15/2019,Lee,1001  Fm 3403   ,Lexington,TX,78947,468008.64,30.359004,-96.973126
" $10,650 ",10.74," $114,424 ",118,9/15/2019,Lee,1001  Fm 3403   ,Lexington,TX,78947,468008.64,30.358742,-96.973568
" $7,636 ",11.00," $84,000 ",1,1/22/2020,Lee,0  County Road 428 Unit B   ,Dime Box,TX,77853,479160,30.370049,-96.843311
" $8,364 ",11.00," $92,000 ",291,4/23/2018,Lee,1  County Rd 305   ,Lexington,TX,78947,479160,30.368284,-97.199473
" $10,000 ",11.00," $110,000 ",176,5/24/2018,Lee,TBD  County Rd 105   ,Paige,TX,78659,479160,30.192743,-97.006745
" $11,091 ",11.00," $122,000 ",11,2/12/2020,Lee,1210  County Road 105   ,Paige,TX,78659,479160,30.192757,-97.005532
" $9,083 ",11.01," $100,000 ",17,9/10/2018,Lee,1373-1425  CR 305   ,McDade,TX,78650,479595.6,30.368602,-97.199473
" $11,971 ",11.40," $136,464 ",44,11/19/2019,Lee,Tract 3 (11.4 ACRES)  County Road 200   ,Giddings,TX,78942,496584,30.186798,-97.006007
" $8,753 ",11.75," $102,850 ",132,4/26/2018,Lee,000  CR 105   ,Paige,TX,78659,511830,30.193126,-97.00652
" $10,231 ",11.83," $121,000 ",32,12/21/2018,Lee,TBD W Fm 696   ,Lexington,TX,78947,515184.12,30.399526,-97.118545
" $13,000 ",12.00," $156,000 ",76,10/22/2019,Lee,00  County Road 411   ,Lexington,TX,78947,522720,30.470478,-96.988032
" $12,550 ",12.50," $156,875 ",113,8/23/2019,Lee,2694  County Road 200   ,Paige,TX,78659,544500,30.198376,-97.055019
" $12,550 ",12.50," $156,875 ",114,8/23/2019,Lee,2694  County Road 200   ,Paige,TX,78659,544500,30.198376,-97.055019
